,Ano,UF,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,microcomputador,Tablet,outro_equipamento,Renda_mensal
118686,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1641.0
118687,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1575.0
118690,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,1566.0
118694,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1245.0
118695,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Sim ,Não,441.0
118697,2014,Santa Catarina,Sim,Não,Sim ,Sim ,Sim ,Não,Não,600.0
118699,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,728.0
118700,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1962.0
118701,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1525.0
118702,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1333.0
118703,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,950.0
118704,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,2250.0
118707,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Sim ,1300.0
118708,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,2950.0
118711,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1300.0
118712,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,3787.0
118714,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,4853.0
118716,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1500.0
118717,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Sim ,12393.0
118719,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1358.0
118723,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,928.0
118725,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,793.0
118726,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1524.0
118727,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Não,Não,Não,800.0
118729,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,627.0
118730,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,548.0
118731,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1666.0
118732,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,4241.0
118733,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3090.0
118734,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,576.0
118735,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2511.0
118736,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2000.0
118737,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,1623.0
118738,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,666.0
118739,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,833.0
118743,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,2066.0
118745,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1300.0
118746,2014,Santa Catarina,Sim,Não,Sim ,Sim ,Sim ,Não,Não,942.0
118748,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,952.0
118749,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,775.0
118750,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1066.0
118751,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1150.0
118752,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,941.0
118753,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,612.0
118755,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,866.0
118757,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1650.0
118759,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Sim ,2106.0
